Time,acc
0,0
0.005,0.209472296
0.01,-0.101757823
0.015,0.340047685
0.02,0.042736128
0.025,0.084942707
0.03,0.087615009
0.035,-0.09463245
0.04,0.064160915
0.045,0.110245086
0.05,-0.147271595
0.055,0.299796504
0.06,0.059914073
0.065,0.350929098
0.07,-0.00019048
0.075,0.163537468
0.08,0.02788227
0.085,0.145727719
0.09,-0.2684689
0.095,-0.04958821
0.1,-0.018106076
0.105,0.085162346
0.11,-0.132420099
0.115,0.087356932
0.12,-0.057002197
0.125,0.323494399
0.13,-0.355738224
0.135,-0.134416636
0.14,-0.058766517
0.145,-0.195147052
0.15,-0.147762979
0.155,-0.319845329
0.16,-0.045785243
0.165,0.301342315
0.17,-0.282646856
0.175,0.028194449
0.18,0.031739102
0.185,0.009589123
0.19,0.019473461
0.195,-0.472381088
0.2,0.088303249
0.205,0.110094656
0.21,-0.085093479
0.215,-0.017384277
0.22,0.157440409
0.225,0.326868445
0.23,0.213392049
0.235,-0.195277551
0.24,0.178471069
0.245,0.141810533
0.25,0.052816157
0.255,-0.256028262
0.26,0.145721237
0.265,0.210193459
0.27,0.23945754
0.275,-0.03755774
0.28,0.064462104
0.285,0.383889704
0.29,0.002747318
0.295,-0.250173775
0.3,-0.03585034
0.305,-0.091318571
0.31,0.109558625
0.315,-0.277839371
0.32,-0.179758386
0.325,0.400832594
0.33,-0.152622484
0.335,0.024090677
0.34,-0.238358402
0.345,-0.013074471
0.35,0.006103039
0.355,-0.400813339
0.36,-0.321423486
0.365,0.1642784
0.37,-0.217054111
0.375,0.156037212
0.38,-0.298217197
0.385,0.309432419
0.39,0.034030051
0.395,-0.033070677
0.4,-0.263495604
0.405,0.143352414
0.41,-0.130123632
0.415,0.073297218
0.42,-0.205430824
0.425,0.307955318
0.43,0.113331967
0.435,0.327947538
0.44,-0.143897873
0.445,0.405137692
0.45,-0.041641912
0.455,0.100792158
0.46,-0.091430074
0.465,-0.017665243
0.47,0.12235493
0.475,0.135756303
0.48,-0.108704255
0.485,0.412524649
0.49,-0.092008419
0.495,0.24299694
0.5,-0.05941612
0.505,-0.165099173
0.51,0.055883811
0.515,-0.267712723
0.52,-0.113897064
0.525,0.002791949
0.53,-0.206148367
0.535,0.149591451
0.54,-0.060859182
0.545,-0.031874885
0.55,0.002243744
0.555,-0.25019665
0.56,-0.041977077
0.565,-0.215191706
0.57,-0.216920875
0.575,-0.132703177
0.58,0.012736601
0.585,0.025320878
0.59,0.012737878
0.595,0.057893643
0.6,0.079677665
0.605,0.136296279
0.61,-0.137582809
0.615,-0.12902456
0.62,0.131529897
0.625,-0.044437314
0.63,0.035544606
0.635,0.084072073
0.64,0.10369403
0.645,0.535584527
0.65,-0.149962231
0.655,0.192105205
0.66,0.12523719
0.665,0.072999235
0.67,-0.019181942
0.675,-0.163143092
0.68,-0.026269176
0.685,0.441683443
0.69,-0.310045269
0.695,0.275460804
0.7,-0.067268001
0.705,0.346401438
0.71,-0.148820903
0.715,-0.203689618
0.72,-0.197114812
0.725,0.184892916
0.73,-0.431652405
0.735,-0.053369469
0.74,-0.255879223
0.745,0.37357028
0.75,-0.213763385
0.755,-0.007129939
0.76,-0.263302831
0.765,0.313223711
0.77,-0.340279202
0.775,-0.241797767
0.78,-0.229678718
0.785,0.139281874
0.79,-0.083530427
0.795,0.004264106
0.8,-0.195593136
0.805,0.601466226
0.81,-0.114055088
0.815,0.017951434
0.82,-0.056828767
0.825,0.074887727
